uid,entertainment,education,dining,park,shopping,metro_station,library,bank,atm,creditunion
66,33,50,50,8,42,4,45,50,13,50
26,4,50,46,5,12,0,10,50,3,50
20,13,50,46,7,5,0,6,50,2,50
21,20,50,50,6,5,0,8,50,3,50
22,18,50,50,6,10,0,8,50,3,50
23,17,50,50,7,24,0,7,50,5,50
4,31,50,50,5,45,4,49,50,12,50
8,19,50,50,9,11,2,34,50,9,50
59,9,50,46,7,7,1,23,50,6,50
58,6,50,18,4,2,1,27,37,3,33
55,3,50,36,2,2,1,27,50,3,46
54,4,50,41,4,2,1,15,50,3,46
56,11,50,50,10,17,0,23,50,8,50
51,6,50,27,4,3,0,5,50,5,50
50,27,50,50,17,8,1,12,50,4,50
53,4,50,50,6,4,1,14,50,4,50
81,9,41,50,7,11,2,5,50,5,50
3,29,50,50,4,44,5,46,50,12,50
7,5,50,38,5,1,0,17,50,2,50
33,30,50,50,13,14,2,7,50,2,50
32,15,50,50,5,12,3,11,50,2,50
31,21,50,50,4,17,4,7,50,4,50
30,20,50,50,5,17,5,7,50,5,50
36,35,50,50,10,17,1,4,50,1,50
34,31,50,48,10,14,1,4,50,1,47
60,8,50,50,8,19,0,5,50,8,50
62,6,50,43,9,14,1,3,50,6,50
63,2,50,23,8,5,1,4,42,3,35
64,2,50,29,9,6,1,4,50,5,50
65,24,50,50,2,45,4,31,50,11,50
67,30,50,48,6,31,2,21,50,11,50
68,16,50,46,14,11,1,7,50,3,50
69,9,50,50,18,15,1,7,50,5,50
2,9,50,50,3,17,2,15,50,11,50
6,20,50,50,5,27,2,38,50,7,50
10,15,50,39,11,5,1,9,44,2,45
13,12,50,50,16,16,1,12,50,9,50
12,14,50,50,17,14,1,9,50,6,50
15,8,45,14,8,1,0,1,22,1,19
14,10,50,39,10,11,0,11,44,8,48
16,6,44,12,5,1,0,0,16,0,16
19,19,50,50,7,13,0,9,50,5,50
18,5,50,50,15,15,0,13,50,8,50
48,16,50,50,20,13,1,7,50,4,50
49,22,50,38,14,4,0,9,41,1,36
47,8,50,16,14,2,0,5,25,1,23
44,2,32,4,6,0,1,0,11,3,7
45,3,50,8,11,0,1,1,17,3,13
42,26,50,50,16,16,3,5,50,2,49
43,7,40,27,8,2,2,1,27,1,25
41,28,50,50,15,23,2,3,50,1,50
1,7,50,50,4,16,3,18,50,9,47
9,24,50,50,9,20,2,34,50,12,50
77,20,43,50,20,19,2,8,50,5,50
75,10,50,42,8,5,0,5,50,3,50
74,16,50,50,7,5,0,7,50,2,50
73,19,50,50,7,5,0,9,50,3,50
79,1,19,8,1,4,1,0,8,1,7
217,4,50,30,6,6,2,11,50,7,50
215,11,46,39,7,5,1,27,42,7,39
210,22,50,50,4,34,3,39,50,7,50
165,8,50,50,12,19,0,9,50,7,50
219,10,50,35,7,8,1,14,50,8,50
133,5,50,37,4,10,0,10,50,2,47
132,10,50,50,6,21,0,12,50,4,50
131,16,50,50,8,24,0,11,50,5,50
134,3,50,6,2,0,0,6,20,1,19
139,8,50,50,16,14,1,7,50,8,50
138,11,50,50,20,17,1,15,50,10,50
166,6,50,50,9,18,1,7,50,8,50
160,5,50,13,13,2,0,0,29,1,26
161,6,50,14,13,2,0,1,28,1,25
163,8,50,33,8,4,1,5,50,3,45
285,3,32,4,1,4,0,0,3,0,3
119,2,50,12,11,2,1,0,28,1,26
120,16,50,50,7,21,0,12,50,4,50
121,14,50,50,9,20,0,16,50,6,50
123,18,50,50,10,17,0,12,50,6,50
124,10,50,50,9,12,0,10,50,6,50
126,8,50,50,14,22,0,14,50,12,50
127,8,50,38,15,15,0,13,50,11,50
128,17,50,50,6,5,0,8,50,3,50
129,19,50,50,5,14,0,9,50,5,50
167,6,50,50,9,17,0,8,50,7,50
299,5,19,11,0,1,0,4,9,0,5
290,2,27,11,10,8,0,2,11,0,10
164,9,50,50,10,20,0,11,50,9,50
179,1,50,50,7,4,1,8,50,5,50
195,9,48,50,9,21,0,9,50,11,50
194,9,50,50,12,21,1,8,50,11,50
197,11,50,50,8,17,0,10,50,8,50
178,6,50,50,4,2,1,8,50,6,50
190,3,50,50,6,4,1,14,50,6,50
193,2,50,28,8,10,1,4,50,6,50
192,5,50,50,10,17,0,9,50,7,50
227,17,50,50,3,41,4,25,50,11,50
88,22,50,50,12,29,2,4,50,2,50
89,31,50,50,14,25,3,2,50,2,50
112,2,50,6,2,1,0,9,23,1,21
87,23,50,50,16,28,2,5,50,4,50
84,19,50,50,14,21,2,5,50,4,50
85,18,50,50,16,25,3,6,50,5,50
198,4,50,50,10,18,0,7,50,6,50
256,4,50,20,9,1,1,2,34,3,28
206,20,50,50,4,35,3,35,50,8,50
226,22,50,39,4,8,0,8,50,8,50
177,5,50,44,5,2,1,12,50,3,50
247,6,50,50,9,10,0,0,49,2,46
255,3,50,22,2,4,1,3,41,10,31
225,17,50,50,4,39,4,22,50,13,50
102,13,50,50,10,10,3,9,50,2,50
103,21,50,50,6,13,4,10,50,3,50
101,25,50,50,10,13,3,11,50,2,50
107,17,50,50,6,15,4,7,50,4,50
104,10,50,50,11,12,0,11,50,6,50
105,20,50,50,5,17,4,10,50,4,50
252,5,50,50,4,20,0,4,50,1,50
205,15,50,50,2,33,3,22,50,7,50
223,22,50,49,7,24,3,17,50,11,50
175,1,50,41,8,7,1,6,50,1,50
174,3,50,38,4,2,0,13,48,3,44
173,8,50,50,7,12,1,29,50,6,50
172,6,50,40,4,7,1,31,50,6,48
170,7,50,50,9,19,0,10,50,8,50
222,13,50,50,4,15,2,14,50,10,50
181,3,50,17,6,3,0,4,50,4,50
253,2,50,20,2,4,1,1,41,10,31
248,5,50,50,9,12,0,1,42,3,37
182,3,50,14,6,2,0,4,50,4,50
162,7,50,13,8,2,0,1,27,1,24
184,29,50,50,8,32,2,42,50,10,50
220,11,50,30,8,5,1,7,50,7,50
186,4,50,50,8,3,1,15,50,2,50
188,1,50,49,9,6,1,9,50,2,50
189,4,50,50,5,2,1,13,50,7,50
202,6,43,50,1,4,1,10,39,2,44
196,12,50,50,9,19,0,26,50,9,50
221,24,50,39,4,9,0,13,50,9,50
99,36,50,50,15,18,2,5,50,2,50
98,35,50,50,12,15,2,4,50,1,50
168,8,50,50,9,17,0,13,50,9,50
169,5,50,50,13,20,1,7,50,8,50
229,8,50,40,14,12,1,5,50,3,50
228,11,50,50,3,32,3,21,50,9,50
91,30,50,50,12,23,2,2,50,2,50
90,31,50,50,14,24,2,2,50,2,50
92,29,50,50,15,22,2,2,50,2,50
95,39,50,50,15,19,2,5,50,1,50
94,25,50,47,15,17,3,6,50,2,50
97,33,50,50,11,14,2,4,50,1,50
250,6,50,50,7,11,1,1,39,3,34
116,8,50,50,9,16,1,1,50,8,50
204,14,50,50,2,35,2,20,50,7,50
224,31,50,50,5,41,4,47,50,13,50
153,23,50,50,15,27,2,4,50,4,50
152,16,50,50,22,23,2,7,50,4,50
155,3,50,11,12,1,1,2,25,3,21
154,4,48,8,8,1,0,1,4,2,2
157,3,50,10,12,1,1,0,20,3,16
158,3,50,13,11,1,1,0,28,3,24
207,25,50,50,5,45,4,41,50,10,50
203,9,50,50,1,23,2,17,50,4,50
145,10,50,15,10,1,0,9,28,1,22
143,9,50,50,13,15,0,14,50,11,50
140,10,50,50,16,19,1,11,50,9,50
141,7,50,50,3,20,0,3,50,2,50
209,25,50,50,6,42,4,44,50,11,50
208,20,50,50,2,42,4,27,50,9,50
149,10,50,50,10,11,1,8,50,5,50
263,2,22,10,2,1,0,2,12,1,10
261,5,50,50,9,10,0,1,40,3,37
267,6,34,50,5,11,0,0,34,2,32
233,1,41,11,1,1,0,0,16,2,12
180,6,47,39,5,1,0,6,50,5,50
329,10,50,20,12,3,0,9,30,4,24
330,20,50,50,17,23,2,5,50,5,50
171,5,50,49,8,6,1,16,50,4,50
83,14,50,50,12,20,2,5,50,4,50
40,18,50,50,13,24,2,5,50,5,50
38,23,50,50,10,29,2,3,50,2,50
113,23,50,50,6,20,4,6,50,7,50
39,22,50,50,13,28,2,5,50,4,50
176,4,50,40,5,2,1,14,50,3,45
244,0,19,7,3,1,0,0,6,2,4
246,1,27,11,4,2,0,1,12,2,9
293,2,8,7,2,1,0,0,7,1,6
257,5,50,50,1,10,1,2,50,8,49
70,12,50,50,20,17,1,16,50,12,50
201,5,26,11,1,2,0,5,15,0,10
337,1,50,19,2,0,0,1,46,3,42
338,2,50,18,1,0,0,1,46,3,42
304,0,50,11,3,2,0,3,9,0,9
336,6,50,50,7,14,0,2,50,6,50
340,3,49,30,2,1,0,2,50,5,50
343,4,50,50,6,10,0,1,47,3,41
342,19,50,50,9,17,0,8,50,5,50
314,5,50,50,6,4,1,9,50,5,50
347,9,37,50,10,12,2,5,50,4,50
339,2,50,46,5,14,0,3,50,3,43
295,24,50,50,19,27,2,5,50,4,50
313,25,50,50,15,18,2,6,50,2,50
352,5,50,23,7,2,1,6,50,6,50
351,26,50,50,5,39,5,33,50,13,50
305,19,50,50,3,43,3,29,50,9,50
349,8,48,18,11,1,0,6,28,1,23
350,20,50,36,2,2,0,5,50,4,50
353,4,50,39,4,2,0,13,50,3,50
357,2,43,22,1,0,0,1,48,4,43
356,5,50,41,4,1,0,9,50,5,50
354,4,50,30,3,1,0,8,50,6,50
355,1,50,20,3,2,0,3,49,3,45
362,7,45,14,8,1,0,0,17,0,16
361,0,50,28,1,3,0,7,37,4,29
