name,full_address,rate,reviews
Bondinho Pão de Açúcar,"Praça General Tibúrcio, s/n,Rio de Janeiro - RJ 22290-240,Brazil",5.0,137
Oteque,"R. Conde de Irajá, 581,Rio de Janeiro - RJ 22270-010,Brazil",5.0,5
L'atelier du Cuisinier,"R. Teófilo Otoni, 97,Rio de Janeiro - RJ 20090-080,Brazil",5.0,5
Antiquarius,"R. Aristides Espinola, 19,Rio de Janeiro - RJ 22440-050,Brazil",5.0,3
Arena Ipanema Hotel,"R. Francisco Otaviano, 131,Rio de Janeiro - RJ 22080-046,Brazil",5.0,3
Tortin,"R. da Matriz, 54,Rio de Janeiro - RJ 22260-100,Brazil",5.0,1
Explorer Bar,"R. Almirante Alexandrino, 399,Santa Teresa,Rio de Janeiro - RJ 20241-260,Brazil",5.0,1
Hostel Cristo Rei,"R. Cosme Velho, 596,Rio de Janeiro - RJ 22241-090,Brazil",5.0,1
SUD - O Pássaro Verde Café,"R. Visc. de Carandaí, 35,Jardim Botânico,Rio de Janeiro - RJ 22460-020,Brazil",5.0,1
Companhia do Garfo,"Av. Princesa Isabel, 214,Rio de Janeiro - RJ 22011-010,Brazil",5.0,1
Churrascaria Palace,"R. Rodolfo Dantas, 16,Copacabana,Rio de Janeiro - RJ 22020-040,Brazil",4.5,135
Aprazível,"R. Aprazível, 62,Santa Teresa,Rio de Janeiro - RJ 20241-270,Brazil",4.5,134
Bar Urca,"R. Cândido Gaffree, 205,Rio de Janeiro - RJ 22291-080,Brazil",4.5,107
Rio Scenarium,"R. do Lavradio, 20,Rio de Janeiro - RJ 20230-070,Brazil",4.5,98
Copacabana Palace,"Av. Atlântica, 1702,Rio de Janeiro - RJ 22021-001,Brazil",4.5,41
Braseiro,"Rua Domingos Ferreira, 214,Copacabana,Rio de Janeiro - RJ 22050-012,Brazil",4.5,36
Mamma Jamma,"R. Saturnino de Brito, 50,Rio de Janeiro - RJ 22470-030,Brazil",4.5,35
Artigiano,"Av. Epitácio Pessoa, 204,Rio de Janeiro - RJ 22410-090,Brazil",4.5,30
Talho Capixaba,"Av. Ataulfo de Paiva, 1022,Rio de Janeiro - RJ 22440-035,Brazil",4.5,28
Bar do Horto,"R. Pacheco Leão, 780,Rio de Janeiro - RJ 22460-030,Brazil",4.5,22
Gaia Art & Café,"R. Gustavo Sampaio, 323,Loja A,Rio de Janeiro - RJ 22010-010,Brazil",4.5,21
Lasai,"R. Conde de Irajá, 191,Rio de Janeiro - RJ 22271-020,Brazil",4.5,21
Puro,"R. Visconde de Carandaí, 43,Rio de Janeiro - RJ 22460-020,Brazil",4.5,21
Hachiko,"Travessa do Paço, 10,Rio de Janeiro - RJ 20010-170,Brazil",4.5,20
La Carioca Cevicheria,"R. Garcia d'Ávila, 173,Loja A,Rio de Janeiro - RJ 22421-010,Brazil",4.5,18
Quadrucci,"R. Dias Ferreira, 233,Loja A,Rio de Janeiro - RJ 22431-050,Brazil",4.5,17
Pizza Hut,"Av. das Américas 5000 lj 211,Rio de Janeiro - RJ 22640-102,Brazil",4.5,17
ORO,"Av. General San Martin, 889,Rio de Janeiro - RJ 22441-015,Brazil",4.5,16
Haru Sushi Bar,"R. Raimundo Corrêa, 10,Rio de Janeiro - RJ 22040-042,Brazil",4.5,13
Carmelo,"R. Correia Dutra, 75,Rio de Janeiro - RJ 22210-050,Brazil",4.5,13
Degrau,"Av. Ataulfo De Paiva, 517,Rio de Janeiro - RJ 22440-033,Brazil",4.5,11
