uid,name,longitude,latitude,free_bikes,empty_slots
66,66 - Estação de Bondes,-43.178429,-22.910029,3,8
26,26 - Iate Clube,-43.173126,-22.953387,5,18
20,20 - Cobal,-43.196941,-22.953847,6,16
21,21 - Real Grandeza,-43.192913,-22.954165,5,12
22,22 - General Polidoro,-43.188818,-22.957157,8,7
23,23 - Pró Cardíaco Botafogo,-43.185633,-22.956109,17,0
4,4 - Largo de São Francisco,-43.18007,-22.905594,8,9
8,8 - MAM,-43.172129,-22.912771,8,13
59,59 - Boulevard 28 de setembro 157,-43.240117,-22.914761,5,5
58,58 - Estádio Célio de Barros,-43.233993,-22.912545,9,14
55,55 - Mata Machado,-43.226217,-22.912498,6,11
54,54 - Morais e Silva,-43.222273,-22.912523,4,15
56,56 - Praça Varnhagen,-43.23363,-22.919349,2,21
51,51 - Cidade Nova,-43.205672,-22.910637,10,6
50,50 - Praça Sibélius,-43.22643,-22.977731,22,1
53,53 - Gaffrée e Guinle,-43.221549,-22.915849,4,7
81,81 - General Venâncio Flores,-43.224574,-22.986208,13,0
3,3 - Praça Tiradentes,-43.181887,-22.906848,5,11
7,7 - Bossa Nova Mall,-43.167037,-22.914619,2,16
33,33 - Almirante Gonçalves,-43.190754,-22.979976,9,1
32,32 - Bolívar,-43.188813,-22.975924,19,4
31,31 - Santa Clara,-43.186443,-22.972278,16,7
30,30 - Santa Clara 98,-43.187914,-22.970645,17,0
36,36 - Joaquim Nabuco,-43.196126,-22.987292,1,14
34,34 - Conselheiro Lafaiete,-43.192073,-22.986346,1,22
60,60 - Maxwell,-43.243779,-22.920075,9,4
62,62 - Colégio N. S. da Misericórdia,-43.245579,-22.925761,5,8
63,63 - Praça Xavier de Brito,-43.242762,-22.932195,6,7
64,64 - Metrô Uruguai,-43.239622,-22.932108,0,19
65,65 - Metrô Uruguaiana,-43.182229,-22.90262,10,11
67,67 - Gomes Freire,-43.182991,-22.912732,13,1
68,68 - Rua do Catete,-43.177206,-22.923425,21,1
69,69 - Palácio do Catete,-43.176526,-22.926982,13,9
2,2 - Praça da República,-43.190287,-22.907434,5,13
6,6 - Praça Marechal Âncora,-43.171636,-22.90411,1,18
10,10 - Largo da Glória,-43.177391,-22.920544,7,12
13,13 - Parque Guinle,-43.182297,-22.932168,2,12
12,12 - Artur Bernardes,-43.179264,-22.928415,8,7
15,15 - Alegrete,-43.193592,-22.938564,9,6
14,14 - Pereira da Silva,-43.185815,-22.933408,3,16
16,16 - Praça São Judas Tadeu,-43.198005,-22.94057,13,10
19,19 - Guilhermina Guinle,-43.188683,-22.949624,3,8
18,18 - Praça Nicarágua,-43.177242,-22.940958,2,13
48,48 - Parque das Figueiras,-43.218609,-22.976067,3,16
49,49 - Shopping da Gávea,-43.227881,-22.975478,9,6
47,47 - Parque dos Patins,-43.217447,-22.972408,1,14
44,44 - Epitácio Pessoa 4224,-43.205854,-22.969634,15,4
45,45 - Epitácio Pessoa 4794,-43.203574,-22.965488,18,1
42,42 - Metrô Lagoa,-43.200969,-22.979019,4,15
43,43 - Parque da Catacumba,-43.200159,-22.975651,8,7
41,41 - Maria Quitéria,-43.207046,-22.980631,4,12
1,1 - Central do Brasil,-43.190611,-22.904152,2,15
9,9 - Sala Cecília Meirelles,-43.178669,-22.913925,7,4
77,77 - Cine Leblon,-43.221066,-22.980997,14,1
75,75 - Pinheiro Guimarães,-43.196413,-22.958822,14,1
74,74 - Visconde de Caravelas,-43.194864,-22.956734,2,17
73,73 - Furnas,-43.191601,-22.956443,11,12
79,79 - São Conrado,-43.257936,-22.998672,7,1
217,217 - Balança Mas Não Cai,-43.193822,-22.906336,6,9
215,215 - Aeroporto Santos Dumont,-43.168147,-22.911303,0,23
210,210 - Praça XV,-43.173943,-22.902256,0,28
165,165 - Tijuca off shopping,-43.235984,-22.923657,0,14
219,219 - Moncorvo Filho,-43.192116,-22.909863,3,14
133,133 - Pasteur,-43.168657,-22.954075,3,11
132,132 - Escola Eleva,-43.17946,-22.953549,6,13
131,131 - Metrô Botafogo,-43.184037,-22.951815,19,2
134,134 - Pão de Açúcar,-43.16483,-22.954261,6,17
139,139 - Buarque de Macedo,-43.173929,-22.929609,4,18
138,138 - Praça José de Alencar,-43.177603,-22.933479,3,11
166,166 - Rabicho Tijuca,-43.235231,-22.925892,2,9
160,160 - Lineu de Paula Machado,-43.216241,-22.964274,7,8
161,161 - Jd. Botânico 716,-43.218812,-22.965475,3,8
