uid,name,longitude,latitude,free_bikes,empty_slots,entertainment,education,dining,park,shopping,metro_station,library,financial
66,66 - EstaÃ§Ã£o de Bondes,-43.178429,-22.910029,1,10,17,16,10,3,78,3,3,3
26,26 - Iate Clube,-43.173126,-22.953387,22,0,1,6,6,0,53,0,0,1
20,20 - Cobal,-43.196941,-22.953847,2,19,2,3,5,1,26,0,0,0
21,21 - Real Grandeza,-43.192913,-22.954165,1,16,2,5,5,0,44,0,0,0
22,22 - General Polidoro,-43.188818,-22.957157,3,12,3,6,7,1,45,0,1,0
23,23 - PrÃ³ CardÃ­aco Botafogo,-43.185633,-22.956109,8,11,1,8,6,1,91,0,1,2
4,4 - Largo de SÃ£o Francisco,-43.18007,-22.905594,1,15,16,15,13,2,82,2,3,4
8,8 - MAM,-43.172129,-22.912771,3,19,11,13,5,2,34,3,2,1
59,59 - Boulevard 28 de setembro 157,-43.240117,-22.914761,3,7,0,11,1,0,47,0,0,1
58,58 - EstÃ¡dio CÃ©lio de Barros,-43.233993,-22.912545,10,13,2,11,0,1,27,0,0,1
55,55 - Mata Machado,-43.226217,-22.912498,1,16,2,18,0,1,29,0,0,3
54,54 - Morais e Silva,-43.222273,-22.912523,11,8,2,14,0,1,8,0,0,3
56,56 - PraÃ§a Varnhagen,-43.23363,-22.919349,3,20,3,14,1,0,70,0,0,2
51,51 - Cidade Nova,-43.205672,-22.910637,1,10,3,6,0,1,40,0,0,2
50,50 - PraÃ§a SibÃ©lius,-43.22643,-22.977731,4,19,11,2,21,0,37,0,0,2
53,53 - GaffrÃ©e e Guinle,-43.221549,-22.915849,4,7,2,16,0,0,15,0,0,2
81,81 - General VenÃ¢ncio Flores,-43.224574,-22.986208,12,0,4,2,19,2,25,0,0,3
3,3 - PraÃ§a Tiradentes,-43.181887,-22.906848,0,16,15,16,12,2,87,3,4,4
7,7 - Bossa Nova Mall,-43.167037,-22.914619,3,15,8,6,2,1,10,2,2,1
33,33 - Almirante GonÃ§alves,-43.190754,-22.979976,4,5,2,8,25,2,53,1,0,1
32,32 - BolÃ­var,-43.188813,-22.975924,2,20,3,9,23,0,78,0,0,5
31,31 - Santa Clara,-43.186443,-22.972278,0,21,5,7,20,1,84,0,0,6
30,30 - Santa Clara 98,-43.187914,-22.970645,3,14,5,6,17,1,80,0,0,5
36,36 - Joaquim Nabuco,-43.196126,-22.987292,10,2,2,7,27,2,30,1,0,1
34,34 - Conselheiro Lafaiete,-43.192073,-22.986346,17,1,2,7,22,2,23,1,0,0
60,60 - Maxwell,-43.243779,-22.920075,3,10,1,10,1,0,62,0,0,1
62,62 - ColÃ©gio N. S. da MisericÃ³rdia,-43.245579,-22.925761,1,14,1,8,0,0,30,0,0,0
63,63 - PraÃ§a Xavier de Brito,-43.242762,-22.932195,2,11,1,9,0,0,35,0,0,1
64,64 - MetrÃ´ Uruguai,-43.239622,-22.932108,3,16,1,10,0,0,44,0,0,1
65,65 - MetrÃ´ Uruguaiana,-43.182229,-22.90262,1,19,13,12,11,1,80,2,4,4
67,67 - Gomes Freire,-43.182991,-22.912732,0,9,13,11,11,5,67,2,3,2
68,68 - Rua do Catete,-43.177206,-22.923425,2,19,3,3,7,5,14,1,0,0
69,69 - PalÃ¡cio do Catete,-43.176526,-22.926982,9,5,2,3,8,4,20,0,0,0
2,2 - PraÃ§a da RepÃºblica,-43.190287,-22.907434,2,17,6,6,3,3,45,0,2,1
6,6 - PraÃ§a Marechal Ãncora,-43.171636,-22.90411,3,16,8,15,10,0,46,2,2,3
10,10 - Largo da GlÃ³ria,-43.177391,-22.920544,2,13,4,6,7,2,10,1,0,0
13,13 - Parque Guinle,-43.182297,-22.932168,3,12,2,5,7,2,23,0,0,0
12,12 - Artur Bernardes,-43.179264,-22.928415,3,11,2,4,10,5,22,0,0,0
15,15 - Alegrete,-43.193592,-22.938564,8,5,0,1,1,2,6,0,0,0
14,14 - Pereira da Silva,-43.185815,-22.933408,3,11,2,8,7,2,22,0,0,0
16,16 - PraÃ§a SÃ£o Judas Tadeu,-43.198005,-22.94057,13,8,0,1,1,2,1,0,0,0
19,19 - Guilhermina Guinle,-43.188683,-22.949624,1,10,2,7,7,2,65,0,1,2
18,18 - PraÃ§a NicarÃ¡gua,-43.177242,-22.940958,7,6,1,6,6,1,46,0,0,2
48,48 - Parque das Figueiras,-43.218609,-22.976067,12,6,9,2,23,3,42,0,0,2
49,49 - Shopping da GÃ¡vea,-43.227881,-22.975478,2,11,10,1,14,1,26,0,0,0
47,47 - Parque dos Patins,-43.217447,-22.972408,5,10,4,0,13,3,7,0,0,0
44,44 - EpitÃ¡cio Pessoa 4224,-43.205854,-22.969634,1,17,0,2,3,2,3,0,0,0
45,45 - EpitÃ¡cio Pessoa 4794,-43.203574,-22.965488,7,12,0,1,5,2,7,0,0,0
42,42 - MetrÃ´ Lagoa,-43.200969,-22.979019,1,17,3,8,24,2,40,1,0,1
43,43 - Parque da Catacumba,-43.200159,-22.975651,4,8,2,10,17,1,41,0,0,1
41,41 - Maria QuitÃ©ria,-43.207046,-22.980631,12,6,1,5,22,3,42,1,0,2
1,1 - Central do Brasil,-43.190611,-22.904152,9,8,6,6,3,3,41,0,2,1
9,9 - Sala CecÃ­lia Meirelles,-43.178669,-22.913925,0,13,16,12,10,5,44,3,3,1
77,77 - Cine Leblon,-43.221066,-22.980997,5,11,8,2,23,4,42,0,0,3
75,75 - Pinheiro GuimarÃ£es,-43.196413,-22.958822,2,13,4,2,4,0,33,0,0,1
74,74 - Visconde de Caravelas,-43.194864,-22.956734,2,16,2,3,5,0,31,0,0,0
73,73 - Furnas,-43.191601,-22.956443,4,19,2,6,6,0,62,0,1,1
79,79 - SÃ£o Conrado,-43.257936,-22.998672,6,3,1,0,0,0,1,0,0,0
217,217 - BalanÃ§a Mas NÃ£o Cai,-43.193822,-22.906336,2,13,1,3,0,2,24,0,1,1
215,215 - Aeroporto Santos Dumont,-43.168147,-22.911303,2,21,8,10,4,1,33,2,2,1
210,210 - PraÃ§a XV,-43.173943,-22.902256,6,21,12,13,9,1,56,2,3,3
165,165 - Tijuca off shopping,-43.235984,-22.923657,5,8,1,12,1,0,76,0,0,1
219,219 - Moncorvo Filho,-43.192116,-22.909863,5,12,6,3,2,3,38,0,1,1
133,133 - Pasteur,-43.168657,-22.954075,9,5,2,6,7,0,33,0,0,0
132,132 - Escola Eleva,-43.17946,-22.953549,18,0,1,7,3,0,79,0,1,2
131,131 - MetrÃ´ Botafogo,-43.184037,-22.951815,4,17,1,6,4,0,88,0,1,2
134,134 - PÃ£o de AÃ§Ãºcar,-43.16483,-22.954261,7,13,1,5,7,0,0,0,0,0
139,139 - Buarque de Macedo,-43.173929,-22.929609,12,0,2,5,6,4,19,0,0,0
138,138 - PraÃ§a JosÃ© de Alencar,-43.177603,-22.933479,4,10,2,7,8,4,23,0,0,0
166,166 - Rabicho Tijuca,-43.235231,-22.925892,3,7,2,13,1,0,79,0,0,1
160,160 - Lineu de Paula Machado,-43.216241,-22.964274,13,2,2,2,11,4,2,0,0,0
